"country","founded","id","industry","linkedin_url","locality","name","region","size","website"
"argentina","2007","diario-la-palabra","newspapers","linkedin.com/company/diario-la-palabra","viedma","diario la palabra","rio negro","1-10","diariolapalabra.com.ar"
"czechia","2007","e15-cz","newspapers","linkedin.com/company/e15-cz","","deník e15","praha","51-200","e15.cz"
"sweden","2007","waryatv","newspapers","linkedin.com/company/waryatv","","waryatv","","1-10","waryatv.com"
"united states","2007","american-univeristy-sustainable-development-law-policy-brief","newspapers","linkedin.com/company/american-univeristy-sustainable-development-law-policy-brief","washington","american university sustainable development law & policy brief","district of columbia","11-50","sdlp.strikingly.com"
"kuwait","2007","kuwaitnews","newspapers","linkedin.com/company/kuwaitnews","","kuwaitnews","","1-10","kuwaitnews.com"
"sweden","2007","sundsvalls-nyheter","newspapers","linkedin.com/company/sundsvalls-nyheter","sundsvall","sundsvalls nyheter","västernorrland","11-50","sn24.se"
"united states","2007","the-liberty-voice","newspapers","linkedin.com/company/the-liberty-voice","delaware","the liberty voice","ohio","1-10","thelibertyvoice.com"
"","2007","aaj-samaaj","newspapers","linkedin.com/company/aaj-samaaj","","aaj samaaj (good morning india private limited)","","501-1000","aajsamaaj.com"
"portugal","2007","escs-magazine","newspapers","linkedin.com/company/escs-magazine","benfica","escs magazine","lisbon","51-200","escsmagazine.escs.ipl.pt"
"turkey","2007","sırıstat-haber-merkezi","newspapers","linkedin.com/company/sırıstat-haber-merkezi","bozkir","sırıstat haber merkezi","konya","1-10","siristat.com"
"lithuania","2007","diena-media-news","newspapers","linkedin.com/company/diena-media-news","","diena media news","","51-200","diena.lt"
"","2007","benchmark-sp-z-o.o.","newspapers","linkedin.com/company/benchmark-sp-z-o.o.","","benchmark sp z o.o.","","11-50","benchmark.pl"
"","2007","mfair","newspapers","linkedin.com/company/mfair","","mfair","","11-50","mfair.ua"
"bulgaria","2007","headline-media-monitoring","newspapers","linkedin.com/company/headline-media-monitoring","","headline media monitoring","","11-50","headline.bg"
"russia","2007","rapbaseru","newspapers","linkedin.com/company/rapbaseru","","rapbase.ru","moscow","1-10","rapbase.ru"
"pakistan","2007","national-courier","newspapers","linkedin.com/company/national-courier","karachi","national courier","sindh","51-200","nationalcourier.pk"
"","2007","da-vibe-urban-magazine","newspapers","linkedin.com/company/da-vibe-urban-magazine","","da vibe mag","","1-10",""
"","2007","snapd-bloor-west","newspapers","linkedin.com/company/snapd-bloor-west","","snapd bloor west","","1-10","snapbloorwest.com"
"germany","2007","pr-von-harsdorf-gmbh","newspapers","linkedin.com/company/pr-von-harsdorf-gmbh","munich","pr von harsdorf gmbh","bavaria","1-10","pr-vonharsdorf.de"
"sweden","2007","mkse-com","newspapers","linkedin.com/company/mkse-com","stockholm","mkse.com - days prior to regular cms & ecommerce news sites","saintckholm","1-10","mkse.com"
"","2007","siente-america","newspapers","linkedin.com/company/siente-america","","siente américa","","11-50","sienteamerica.com"
"","2007","journal-zibeline","newspapers","linkedin.com/company/journal-zibeline","","journal zibeline","","1-10","journalzibeline.fr"
"senegal","2007","rewmi-officiel","newspapers","linkedin.com/company/rewmi-officiel","","rewmi officiel","","1-10","rewmi.com"
"belgium","2007","west_2","newspapers","linkedin.com/company/west_2","etterbeek","west - welfare, society and territory","brussels capital","1-10",""
"spain","2007","ibercampuses","newspapers","linkedin.com/company/ibercampuses","madrid","ibercampuses","madrid","1-10","ibercampus.es"
"germany","2007","apotheke-adhoc","newspapers","linkedin.com/company/apotheke-adhoc","","apotheke adhoc","berlin","11-50","apotheke-adhoc.de"
"","2007","the-pakistani-spectator","newspapers","linkedin.com/company/the-pakistani-spectator","","the pakistani spectator","","1-10","pkhope.com"
"united states","2007","south-florida-times","newspapers","linkedin.com/company/south-florida-times","fort lauderdale","south florida times","florida","51-200","sfltimes.com"
"france","2007","business-traveller-france","newspapers","linkedin.com/company/business-traveller-france","puteaux","business traveller france","ile-de-france","1-10","businesstravel.fr"
"united states","2007","on-wisconsin-outdoors","newspapers","linkedin.com/company/on-wisconsin-outdoors","","on wisconsin outdoors","wisconsin","1-10","onwisconsinoutdoors.com"
"india","2007","livemint","newspapers","linkedin.com/company/livemint","new delhi","ht mint","delhi","51-200","livemint.com"
"france","2007","tsugi-magazine","newspapers","linkedin.com/company/tsugi-magazine","paris","tsugi magazine","ile-de-france","11-50","tsugi.fr"
"brazil","2007","folha-vitória","newspapers","linkedin.com/company/folha-vitória","","folha vitória","espirito santo","11-50",""
"united states","2007","the-diplomatic-envoy","newspapers","linkedin.com/company/the-diplomatic-envoy","south orange","the diplomatic envoy","new jersey","11-50","thediplomaticenvoy.com"
"egypt","2007","youm7","newspapers","linkedin.com/company/youm7","dokki","youm7 - اليوم السابع","giza","501-1000","youm7.com"
"","2007","a-gazeta-not-cias","newspapers","linkedin.com/company/a-gazeta-not-cias","","a gazeta notícias","","11-50","agazetanoticias.com"
"netherlands","2007","dagblad-de-pers","newspapers","linkedin.com/company/dagblad-de-pers","amsterdam","dagblad de pers","noord-holland","51-200","depers.nl"
"united states","2007","prairie-fire-newspaper","newspapers","linkedin.com/company/prairie-fire-newspaper","lincoln","prairie fire newspaper","nebraska","1-10","prairiefirenewspaper.com"
"spain","2007","la-república-cultural-es---revista-digital","newspapers","linkedin.com/company/la-república-cultural-es---revista-digital","","la república cultural.es - revista digital","madrid","11-50","larepublicacultural.es"
"germany","2007","wirtschaftsdienst","newspapers","linkedin.com/company/wirtschaftsdienst","hannover","wirtschaftsdienst","niedersachsen","1-10","wirtschaftsdienst.info"
"brazil","2007","metrojornal","newspapers","linkedin.com/company/metrojornal","","metro jornal","sao paulo","51-200","metrojornal.com.br"
"morocco","2007","le-canard-libéré","newspapers","linkedin.com/company/le-canard-libéré","","le canard libéré","casablanca-settat","11-50","lecanardlibere.com"
"united states","2007","concierge-medicine-today","newspapers","linkedin.com/company/concierge-medicine-today","alpharetta","concierge medicine today","georgia","1-10","conciergemedicinetoday.com"
"france","2007","grand-prix-group","newspapers","linkedin.com/company/grand-prix-group","asnières-sur-seine","grand prix group","île-de-france","11-50","grandprix-replay.com"
"","2007","esquire-espana","newspapers","linkedin.com/company/esquire-espana","","esquire españa","","51-200","esquire.es"
"greece","2007","insurancedaily","newspapers","linkedin.com/company/insurancedaily","athens","insurancedaily","attica","11-50","insurancedaily.gr"
"","2007","investuok-magazine","newspapers","linkedin.com/company/investuok-magazine","","investuok, magazine","","11-50","kurinvestuoti.lt"
"madagascar","2007","jejooclub","newspapers","linkedin.com/company/jejooclub","antananarivo","jejoo - club jejoo","antananarivo","201-500","jejooweb.com"
"france","2007","enviscope","newspapers","linkedin.com/company/enviscope","couzon-au-mont-d’or","enviscope","auvergne-rhône-alpes","1-10","enviscope.com"
"united states","2007","river-city-weekly","newspapers","linkedin.com/company/river-city-weekly","","river city weekly","idaho","1-10","rivercityweekly.com"
"morocco","2007","success-editions","newspapers","linkedin.com/company/success-editions","","success editions","rabat-salé-kénitra","11-50","success-editions.com"
"italy","2007","ilgiornale-it","newspapers","linkedin.com/company/ilgiornale-it","milan","ilgiornale.it","lombardia","11-50",""
"sweden","2007","spraktidningen","newspapers","linkedin.com/company/spraktidningen","","språktidningen","","1-10","spraktidningen.se"
"","2007","direct-matin","newspapers","linkedin.com/company/direct-matin","","direct matin","","51-200","directmatin.fr"
"brazil","2007","portalnegocios","newspapers","linkedin.com/company/portalnegocios","natal","portal negócios","rio grande do norte","1-10","portalnegocios.com.br"
"swaziland","2007","independentnews","newspapers","linkedin.com/company/independentnews","","independent news eswatini","","1-10","independentnews.co.sz"
"argentina","2007","el-periódico-de-rincón","newspapers","linkedin.com/company/el-periódico-de-rincón","","el periódico de rincón","neuquen","1-10","elperiodicoderincon.com.ar"
"france","2007","hospitalia-magazine","newspapers","linkedin.com/company/hospitalia-magazine","dinard","hospitalia magazine","bretagne","1-10","hospitalia.fr"
"united states","2007","mission-valley-news","newspapers","linkedin.com/company/mission-valley-news","san diego","mission valley news","california","1-10","missionvalleynews.com"
"algeria","2007","toutsurlalgerie","newspapers","linkedin.com/company/toutsurlalgerie","algiers","tsa - tout sur l'algérie","algiers","11-50","tsa-algerie.com"
"spain","2007","onda-newspaper","newspapers","linkedin.com/company/onda-newspaper","baranain","onda newspaper","navarra","1-10","ligury.com"
"","2007","balkans.com-business-news","newspapers","linkedin.com/company/balkans.com-business-news","","balkans.com business news","","201-500","balkans.com"
"russia","2007","russiabeyond","newspapers","linkedin.com/company/russiabeyond","moscow","russia beyond the headlines","moscow","51-200","rbth.com"
"germany","2007","business-insider-deutschland","newspapers","linkedin.com/company/business-insider-deutschland","berlin","business insider deutschland","berlin","11-50","businessinsider.de"
"","2007","segundo-a-segundo.com","newspapers","linkedin.com/company/segundo-a-segundo.com","","segundo a segundo.com","","11-50","segundoasegundo.com"
"","2007","oorvani-media","newspapers","linkedin.com/company/oorvani-media","","oorvani media","","1-10","oorvani.in"
"","2007","eminem50centcom","newspapers","linkedin.com/company/eminem50centcom","","eminem50cent.ru","","1-10","eminem50cent.com"
"costa rica","2007","the-costa-rica-news","newspapers","linkedin.com/company/the-costa-rica-news","","the costa rica news","heredia","11-50","thecostaricanews.com"
"united kingdom","2007","hackney-citizen","newspapers","linkedin.com/company/hackney-citizen","london","hackney citizen","greater london","1-10","hackneycitizen.co.uk"
"united states","2007","the-new-school-free-press","newspapers","linkedin.com/company/the-new-school-free-press","new york","the new school free press","new york","11-50","newschoolfreepress.com"
"india","2007","himachal-live","newspapers","linkedin.com/company/himachal-live","","himachal live","","1-10","himachallive.com"
"","2007","tuttoggiquotidianoumbro","newspapers","linkedin.com/company/tuttoggiquotidianoumbro","","tuttoggi.info","","11-50",""
"france","2007","polka-magazine","newspapers","linkedin.com/company/polka-magazine","paris","polka magazine","ile-de-france","1-10","polkamagazine.com"
"italy","2007","tempo-stretto","newspapers","linkedin.com/company/tempo-stretto","messina","tempo stretto","sicily","1-10","tempostretto.it"
"turkey","2007","a1haber","newspapers","linkedin.com/company/a1haber","istanbul","a1haber","istanbul","1-10","a1haber.com"
"argentina","2007","smnoticias","newspapers","linkedin.com/company/smnoticias","","smnoticias","buenos aires","1-10","smnoticias.com"
"brazil","2007","jornal-not-cias-do-dia","newspapers","linkedin.com/company/jornal-not-cias-do-dia","","jornal notícias do dia","","51-200",""
"sweden","2007","norrbottens-media-ab","newspapers","linkedin.com/company/norrbottens-media-ab","lulea","norrbottens media ab","norrbottens lan","201-500","norrbottensmedia.se"
"australia","2007","gdayindia","newspapers","linkedin.com/company/gdayindia","blackburn","g'day india pty ltd - melbourne’s leading monthly indian newspaper","victoria","11-50","gdayindia.com.au"
"turkey","2007","hispanatolia","newspapers","linkedin.com/company/hispanatolia","","hispanatolia","bursa","1-10","hispanatolia.com"
"poland","2007","-newspress-","newspapers","linkedin.com/company/-newspress-","szczecin","""newspress""","zachodniopomorskie","1-10","newspress.pl"
"egypt","2007","the-cairo-times","newspapers","linkedin.com/company/the-cairo-times","","the cairo times","","11-50","thecairotimes.com"
"united states","2007","the-castle-pines-connection","newspapers","linkedin.com/company/the-castle-pines-connection","castle rock","the castle pines connection","colorado","11-50","castlepinesconnection.com"
"brazil","2007","diariodorio","newspapers","linkedin.com/company/diariodorio","","diário do rio de janeiro","","1-10","diariodorio.com"
"france","2007","bom-presse","newspapers","linkedin.com/company/bom-presse","clichy","bom presse","ile-de-france","1-10","manip-info.com"
"united kingdom","2007","hoona-london","newspapers","linkedin.com/company/hoona-london","","hoona london","","1-10","hoonalondon.com"
"italy","2007","tuttoggi-quotidianoumbro","newspapers","linkedin.com/company/tuttoggi-quotidianoumbro","spoleto","tuttoggi.info","umbria","11-50","tuttoggi.info"
"greece","2006","hellenicshippingnewsworldwide","newspapers","linkedin.com/company/hellenicshippingnewsworldwide","attiki","hellenic shipping news worldwide","attica","11-50","hellenicshippingnews.com"
"italy","2006","citt-di-ariano-.-it","newspapers","linkedin.com/company/citt-di-ariano-.-it","ariano irpino","città di ariano . it","campania","1-10","cittadiariano.it"
"algeria","2006","n'tic-magazine","newspapers","linkedin.com/company/n'tic-magazine","algiers","n'tic magazine","algiers","11-50","nticweb.com"
"russia","2006","объединённая-редакция-окружных-и-районных-сми-москвы-«звёздный-бульвар»","newspapers","linkedin.com/company/объединённая-редакция-окружных-и-районных-сми-москвы-«звёздный-бульвар»","moskva","объединённая редакция окружных и районных сми москвы","samara","51-200","orzb.ru"
"italy","2006","vivicentro","newspapers","linkedin.com/company/vivicentro","naples","vivicentro","campania","1-10","vivicentro.it"
"senegal","2006","r-ussir-business","newspapers","linkedin.com/company/r-ussir-business","","réussir business","","1-10","reussirbusiness.com"
"romania","2006","masini-si-utilaje-pentru-constructii","newspapers","linkedin.com/company/masini-si-utilaje-pentru-constructii","bucharest","masini si utilaje pentru constructii","bucuresti","1-10","masinisiutilaje.ro"
"venezuela","2006","noticias24c","newspapers","linkedin.com/company/noticias24c","valencia","noticias24carabobo","carabobo","1-10","noticias24carabobo.com"
"united states","2006","hometown-focus","newspapers","linkedin.com/company/hometown-focus","virginia","hometown focus","minnesota","1-10","hometownfocus.us"
"united states","2006","picketfencemedia","newspapers","linkedin.com/company/picketfencemedia","capistrano beach","picket fence media","california","11-50","picketfencemedia.com"
"portugal","2006","oje","newspapers","linkedin.com/company/oje","lisbon","oje","lisbon","11-50","oje.pt"
"india","2006","monday-morning-the-official-student-media-body-of-nit-rourkela","newspapers","linkedin.com/company/monday-morning-the-official-student-media-body-of-nit-rourkela","raurkela","monday morning - the official student media body of nit rourkela","odisha","51-200",""
"united kingdom","2006","testify-news","newspapers","linkedin.com/company/testify-news","london","testify news","greater london","11-50","testifynewspaper.com"
"united states","2006","public-news","newspapers","linkedin.com/company/public-news","the woodlands","public news","texas","11-50","publicnewsonline.com"
"vietnam","2006","bizlive-vn","newspapers","linkedin.com/company/bizlive-vn","","bizlive.vn","ha noi","11-50","bizlive.vn"
"maldives","2006","minivan-news","newspapers","linkedin.com/company/minivan-news","male","minivan news","kaafu atoll","1-10","minivannews.com"
"united states","2006","city-&-state","newspapers","linkedin.com/company/city-&-state","new york","city & state","new york","11-50",""
"argentina","2006","microdinero","newspapers","linkedin.com/company/microdinero","","microdinero","buenos aires","1-10","microdinero.com"
"switzerland","2006","journal-laregion","newspapers","linkedin.com/company/journal-laregion","yverdon-les-bains","la région","vaud","11-50","laregion.ch"
"france","2006","cfnews","newspapers","linkedin.com/company/cfnews","paris","cfnews","ile-de-france","11-50","cfnews.net"
"","2006","tabloid-alhikmah","newspapers","linkedin.com/company/tabloid-alhikmah","","tabloid alhikmah","","1-10","alhikmahonline.com"
"united states","2006","the-harvard-press","newspapers","linkedin.com/company/the-harvard-press","harvard","the harvard press","massachusetts","1-10","harvardpress.com"
"united states","2006","lamorinda-weekly","newspapers","linkedin.com/company/lamorinda-weekly","moraga","lamorinda weekly","california","11-50","lamorindaweekly.com"
"switzerland","2006","20-minutes-suisse-romande","newspapers","linkedin.com/company/20-minutes-suisse-romande","lausanne","20 minutes suisse romande","vaud","51-200","20minutes.ch"
"france","2006","association-le-scandaleux","newspapers","linkedin.com/company/association-le-scandaleux","roubaix","association le scandaleux","nord-pas-de-calais","11-50","lescandaleuxmag.fr"
"canada","2006","snap-burlington","newspapers","linkedin.com/company/snap-burlington","burlington","snapd burlington","ontario","1-10","snapburlington.com"
"hungary","2006","trademagazin","newspapers","linkedin.com/company/trademagazin","budapest","trade magazin","budapest","11-50","trademagazin.hu"
"","2006","the-rainbow-times","newspapers","linkedin.com/company/the-rainbow-times","","the rainbow times","","11-50","therainbowtimesmass.com"
"nigeria","2006","national-daily-newspaper","newspapers","linkedin.com/company/national-daily-newspaper","ikeja","national daily newspaper","lagos","11-50","nationaldailyng.com"
"","2006","washa-washeando","newspapers","linkedin.com/company/washa-washeando","","washa washeando","","1-10","facebook.com/washa.washeando"
"brazil","2006","direitoce-com-br","newspapers","linkedin.com/company/direitoce-com-br","","direitoce.com.br","ceará","11-50","direitoce.com.br"
"united states","2006","genealogybank","newspapers","linkedin.com/company/genealogybank","naples","genealogybank","florida","11-50","genealogybank.com"
"nigeria","2006","thenation","newspapers","linkedin.com/company/thenation","lagos","the nation nigeria","lagos","201-500","thenationonlineng.net"
"netherlands","2006","dutch-news","newspapers","linkedin.com/company/dutch-news","amsterdam","dutch news bv","noord-holland","1-10","dutchnews.nl"
"ukraine","2006","ahrarnuy-tuzhden-ukraina","newspapers","linkedin.com/company/ahrarnuy-tuzhden-ukraina","kiev","аграрний тиждень. україна","kyyiv","1-10","a7d.com.ua"
"ukraine","2006","odessa-business-news","newspapers","linkedin.com/company/odessa-business-news","odessa","odessa business news","odessa","1-10","odessanews.biz"
"argentina","2006","revista-watt","newspapers","linkedin.com/company/revista-watt","","revista watt","buenos aires","1-10","revistawatt.com"
"indonesia","2006","asco-media-utama","newspapers","linkedin.com/company/asco-media-utama","jakarta","asco media utama","jakarta","11-50","ascomaxx.com"
"pakistan","2006","textalks","newspapers","linkedin.com/company/textalks","","textalks","","11-50","textalks.com"
"united kingdom","2006","community-life-alton-alresford-and-villages","newspapers","linkedin.com/company/community-life-alton-alresford-and-villages","","community life alton, alresford and villages","","1-10","communitylifemagazine.co.uk"
"united states","2006","mondoweiss","newspapers","linkedin.com/company/mondoweiss","detroit","mondoweiss","michigan","1-10","mondoweiss.net"
"south korea","2006","bloter","newspapers","linkedin.com/company/bloter","","bloter","seoul","1-10","bloter.net"
"united states","2006","thebaynet.com","newspapers","linkedin.com/company/thebaynet.com","lexington park","thebaynet.com","maryland","11-50","thebaynet.com"
"","2006","zeytinagacidergisi","newspapers","linkedin.com/company/zeytinagacidergisi","","zeytin ağacı dergisi","","1-10","zeytinagacidergisi.com"
"india","2006","dainik-jagran-inext","newspapers","linkedin.com/company/dainik-jagran-inext","kanpur","dainik jagran inext","uttar pradesh","201-500","inextepaper.jagran.com"
"serbia","2006","kraljevoonline","newspapers","linkedin.com/company/kraljevoonline","","kraljevo online","","1-10","kraljevo.online"
"germany","2006","digital-magazin","newspapers","linkedin.com/company/digital-magazin","eberswalde","ecb - der e-commerce-blog","brandenburg","1-10","digital-magazin.de"
"france","2006","groupe-ebra","newspapers","linkedin.com/company/groupe-ebra","paris","groupe ebra","ile-de-france","1001-5000","ebra.fr"
"","2006","neptune-prime-ng","newspapers","linkedin.com/company/neptune-prime-ng","","neptune prime ng","","51-200","neptuneprime.com.ng"
"france","2006","tribune-de-lyon","newspapers","linkedin.com/company/tribune-de-lyon","lyon","rosebud-tribune de lyon","auvergne-rhône-alpes","11-50","tribunedelyon.fr"
"france","2006","la-revue-européenne-des-médias-et-du-numérique","newspapers","linkedin.com/company/la-revue-européenne-des-médias-et-du-numérique","paris","la revue européenne des médias et du numérique","ile-de-france","1-10","la-rem.eu"
"united states","2006","madison-commons","newspapers","linkedin.com/company/madison-commons","madison","madison commons","wisconsin","1-10","madisoncommons.org"
"united states","2006","joplin-regional-business-journal","newspapers","linkedin.com/company/joplin-regional-business-journal","joplin","joplin regional business journal","missouri","1-10","jrbj.biz"
"canada","2006","journal.ca","newspapers","linkedin.com/company/journal.ca","l'ancienne-lorette","journal.ca • journaux locaux et d'entreprises","quebec","1-10","journal-local.ca"
"bangladesh","2006","the-desher-khobor","newspapers","linkedin.com/company/the-desher-khobor","","the desher khobor ।। দেশের খবর","dhaka","1-10","desherkhobor.net"
"south africa","2006","media-distribution-africa","newspapers","linkedin.com/company/media-distribution-africa","","media distribution africa","","11-50","mdafrica.co.za"
"","2006","european-defence","newspapers","linkedin.com/company/european-defence","","european security & defence","","11-50","euro-sd.com"
"spain","2006","laps4","newspapers","linkedin.com/company/laps4","valencia","laps4.com","valencia","11-50","laps4.com"
"","2006","jnytt-ab","newspapers","linkedin.com/company/jnytt-ab","","jnytt ab","","11-50","jnytt.se"
"united kingdom","2006","the-founder-newspaper","newspapers","linkedin.com/company/the-founder-newspaper","egham","the founder","surrey","11-50","thefounder.co.uk"
"india","2006","i-next-a-unit-of-jpl-group-","newspapers","linkedin.com/company/i-next-a-unit-of-jpl-group-","","i-next (a unit of jpl group)","","501-1000","inext.co.in"
"spain","2006","el-pergami","newspapers","linkedin.com/company/el-pergami","palamos","el pergami","catalonia","1-10","elpergami.com"
"united states","2006","ohio-irish-american-news-llc","newspapers","linkedin.com/company/ohio-irish-american-news-llc","cleveland","ohio irish american news, llc","ohio","11-50","ohioianews.com"
"qatar","2006","qatar-tribune","newspapers","linkedin.com/company/qatar-tribune","doha","qatar tribune newspaper","baladīyat ad dawḩah","51-200","qatar-tribune.com"
"france","2006","mrj-presse","newspapers","linkedin.com/company/mrj-presse","","mrj presse","","11-50","mrj-presse.fr"
"iran","2006","manzel-magazine","newspapers","linkedin.com/company/manzel-magazine","teheran","manzel magazine","tehran","11-50",""
"egypt","2006","alternative-energy-africa","newspapers","linkedin.com/company/alternative-energy-africa","cairo","alternative energy africa","cairo","11-50","ae-africa.com"
"india","2006","santkhabar","newspapers","linkedin.com/company/santkhabar","","seo company india","uttarakhand","1-10","santkhabar.com"
"poland","2006","ceomagazynpolska","newspapers","linkedin.com/company/ceomagazynpolska","kraków","ceo polska","lesser poland voivodeship","11-50","ceo.com.pl"
"netherlands","2006","fontanelpuntnl","newspapers","linkedin.com/company/fontanelpuntnl","","fontanel","","1-10",""
"united states","2006","milk-&-honey-magazine","newspapers","linkedin.com/company/milk-&-honey-magazine","indian trail","milk & honey magazine","north carolina","1-10","milknhoneymag.org"
"france","2006","premium-luxe-etiq-pack-liquides-conditionnement","newspapers","linkedin.com/company/premium-luxe-etiq-pack-liquides-conditionnement","paris","premium&luxe etiq&pack liquides&conditonnement magnum signal etiq papargus","ile-de-france","11-50",""
"pakistan","2006","rabwah-times","newspapers","linkedin.com/company/rabwah-times","chenāb nagar","rabwah times","punjab","11-50","rabwah.net"
"lebanon","2006","it-magazine-me","newspapers","linkedin.com/company/it-magazine-me","jounieh","it magazine me","mont-liban","1-10","itmagazineme.com"
"norway","2006","e24.no","newspapers","linkedin.com/company/e24.no","oslo","e24.no","oslo","11-50","e24.no"
"united states","2006","the-indian-panorama","newspapers","linkedin.com/company/the-indian-panorama","south richmond hill","the indian panorama","new york","51-200","theindianpanorama.news"
"poland","2006","bis-agh","newspapers","linkedin.com/company/bis-agh","","bis agh","","1-10","bis.agh.edu.pl"
"united states","2006","geneseesun-com","newspapers","linkedin.com/company/geneseesun-com","geneseo","geneseesun.com","new york","1-10","geneseesun.com"
"united kingdom","2006","spears-magazine","newspapers","linkedin.com/company/spears-magazine","london","spear's magazine","greater london","11-50","spearswms.com"
"united states","2006","sierra-contractor's-source-llc","newspapers","linkedin.com/company/sierra-contractor's-source-llc","reno","sierra contractor's source, llc","nevada","1-10","scsplanroom.com"
"","2006","nigerian-canadian-news","newspapers","linkedin.com/company/nigerian-canadian-news","","nigerian canadian news","","1-10","nigeriancanadiannews.ca"
"united states","2006","tblucsb","newspapers","linkedin.com/company/tblucsb","santa barbara","the bottom line newspaper","california","51-200","thebottomline.as.www.thebottomline.as.ucsb.edu"
"","2006","тюркист","newspapers","linkedin.com/company/тюркист","","","","1-10",""
"czechia","2006","prahounakole.cz","newspapers","linkedin.com/company/prahounakole.cz","prague","prahounakole.cz","praha","11-50","prahounakole.cz"
"united states","2006","boropulse","newspapers","linkedin.com/company/boropulse","murfreesboro","the murfreesboro pulse","tennessee","1-10","boropulse.com"
"belarus","2006","vitebsk-popular-news","newspapers","linkedin.com/company/vitebsk-popular-news","","vitebsk popular news","vitebsk","1-10","vitebsk.cc"
"united states","2006","shelby-county-news-llc","newspapers","linkedin.com/company/shelby-county-news-llc","shelbyville","shelby county news, llc","illinois","1-10","shelbycountynews.net"
"france","2006","lo-c-fieux-medias","newspapers","linkedin.com/company/lo-c-fieux-medias","triel-sur-seine","loïc fieux medias","ile-de-france","1-10","camions.histoireetcollections.com"
"uruguay","2006","ladiaria","newspapers","linkedin.com/company/ladiaria","montevideo","ladiaria","montevideo","51-200","ladiaria.com.uy"
"united kingdom","2006","brighton-journalist-works","newspapers","linkedin.com/company/brighton-journalist-works","brighton","brighton journalist works","brighton and hove","11-50","journalistworks.co.uk"
"india","2006","inner-secrets-magazine","newspapers","linkedin.com/company/inner-secrets-magazine","mumbai","inner secrets magazine","maharashtra","11-50","innersecrets.co.in"
"argentina","2006","the-argentina-independent","newspapers","linkedin.com/company/the-argentina-independent","","the argentina independent","buenos aires","11-50","argentinaindependent.com"
"","2006","awami-satta","newspapers","linkedin.com/company/awami-satta","","awami satta","","1-10","awamisatta.com"
"portugal","2006","jornal-sol","newspapers","linkedin.com/company/jornal-sol","lisbon","jornal sol","lisbon","51-200","sol.pt"
"spain","2006","planetadeporte-net","newspapers","linkedin.com/company/planetadeporte-net","","planeta deporte","","11-50","planetadeporte.es"
"united states","2006","washington-examiner","newspapers","linkedin.com/company/washington-examiner","","washington examiner","","51-200","washingtonexaminer.com"
"united states","2006","shawangunk-journal","newspapers","linkedin.com/company/shawangunk-journal","ellenville","shawangunk journal","new york","1-10","gunkjournal.com"
"united states","2006","the-new-london-homeless-hospitality-center-inc-","newspapers","linkedin.com/company/the-new-london-homeless-hospitality-center-inc-","town of new london","the new london homeless hospitality center, inc.","connecticut","11-50","nlhhc.org"
"australia","2006","newsmediaworks","newspapers","linkedin.com/company/newsmediaworks","pyrmont","newsmediaworks","new south wales","11-50","newsmediaworks.com.au"
"lebanon","2006","al-akhbar","newspapers","linkedin.com/company/al-akhbar","beirut","al-akhbar newspaper","beyrouth","51-200","al-akhbar.com"
"tanzania","2006","new-habari-2006-limited","newspapers","linkedin.com/company/new-habari-2006-limited","","new habari (2006) limited","dar es salaam","51-200","newhabari.com"
"united states","2006","the-epoch-journal","newspapers","linkedin.com/company/the-epoch-journal","","the epoch journal","maryland","1-10","epochjournal.org"
"united states","2006","brevard-county-woman-newspaper","newspapers","linkedin.com/company/brevard-county-woman-newspaper","","brevard county woman newspaper","florida","1-10","brevardcountywoman.com"
"poland","2006","itbiznes","newspapers","linkedin.com/company/itbiznes","lesznowola","itbiznes","mazowieckie","1-10","itbiznes.pl"
"united states","2006","richmond-bizsense","newspapers","linkedin.com/company/richmond-bizsense","richmond","richmond bizsense","virginia","1-10","richmondbizsense.com"
"egypt","2006","egypt-oil-&-gas","newspapers","linkedin.com/company/egypt-oil-&-gas","","egypt oil & gas","","11-50","egyptoil-gas.com"
"","2006","журнал-magazine","newspapers","linkedin.com/company/журнал-magazine","","журнал magazine","","1-10","magazine29.ru"
"indonesia","2006","pt-media-nusa-pradana","newspapers","linkedin.com/company/pt-media-nusa-pradana","jakarta","pt media nusa pradana","jakarta","201-500","jurnas.com"
"united states","2006","the-rock-of-the-coast","newspapers","linkedin.com/company/the-rock-of-the-coast","spring green","the rock","wisconsin","1-10","rockofthecoast.com"
"france","2006","accueillir-magazine","newspapers","linkedin.com/company/accueillir-magazine","paris","accueillir magazine","ile-de-france","1-10","accueillir-magazine.com"
"","2006","newsgroup","newspapers","linkedin.com/company/newsgroup","","newsgroup and local post co.","","11-50","newsgroup.ie"
"canada","2006","traces-magazine","newspapers","linkedin.com/company/traces-magazine","saint-sauveur","traces magazine","quebec","1-10","tracesmagazine.com"
"denmark","2006","fredericia-avisen","newspapers","linkedin.com/company/fredericia-avisen","fredericia","fredericia avisen","south denmark","1-10","fredericiaavisen.dk"
"italy","2006","sconfinare","newspapers","linkedin.com/company/sconfinare","gorizia","sconfinare","friuli-venezia giulia","11-50","sconfinare.net"
"united states","2006","gatehouse-media","newspapers","linkedin.com/company/gatehouse-media","pittsford","gatehouse media","new york","1001-5000","gatehousemedia.com"
"united states","2006","the-oconee-leader","newspapers","linkedin.com/company/the-oconee-leader","watkinsville","the oconee leader","georgia","1-10","theoconeeleader.com"
